ISBN,Image_URL
0195153448,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
0060973129,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
0374157065,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
0393045218,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
0425176428,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
0679425608,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
0771074670,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
080652121X,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg
0887841740,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
1558746218,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
1575663937,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
0440234743,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0452264464,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
0609804618,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
1841721522,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg
1879384493,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg
0439095026,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg
0689821166,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg
0971880107,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0345402871,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0345417623,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0684823802,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg
0375759778,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
0425163091,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg
3404921038,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg
3442353866,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg
3442410665,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg
